CRA&SHA 79700
CRA&SHN 76860
ZBA&CRA 66416
AAA&AAA 3900
DAB&CBB 2675
ZAA&AAA 360
AAA&AAA 300
XDC&CBB 0
FFA&CCA 0
JMA&AYA 0
